City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,ulsteinvik,62.3432,5.8487,7.5,76,97,6.28,NO,1728962026
285,constantia,44.1833,28.65,10.39,72,53,2.97,RO,1728961832
286,quelimane,-17.8786,36.8883,24.97,88,20,2.06,MZ,1728962028
287,dien bien phu,21.3833,103.0167,28.99,63,50,0.45,VN,1728961814
288,faya-largeau,17.9257,19.1043,27.73,17,53,5.22,TD,1728962031
289,san andres,12.5847,-81.7006,26.01,89,40,2.06,CO,1728962032
290,crane,31.3974,-102.3501,24.42,23,0,5.16,US,1728962033
291,geraldton,-28.7667,114.6,22.23,49,75,4.12,AU,1728962034
292,douz,33.4663,9.0203,23.32,49,0,4.22,TN,1728962035
293,victorica,-36.2151,-65.4359,15.69,95,92,3.81,AR,1728962036
294,kalibo (poblacion),11.7061,122.3644,27.88,90,95,2.85,PH,1728962038
295,kiruna,67.8557,20.2251,-5.49,86,10,4.12,SE,1728962039
296,meadow lakes,61.6247,-149.6011,6.46,72,86,0.46,US,1728961760
297,lagoa santa,-19.6272,-43.8897,22.54,60,20,6.17,BR,1728962041
298,wewak,-3.5534,143.6268,30.12,66,100,2.95,PG,1728962042
299,pyhajarvi,67.0701,27.2176,3.59,94,100,0.98,FI,1728962043
300,ovalle,-30.5983,-71.2003,18.49,43,100,0.43,CL,1728962044
301,turkmenbasy,40.0222,52.9552,12.53,41,100,4.11,TM,1728962046
302,alaghsas,17.0187,8.0168,29.38,15,25,3.01,NE,1728962047
303,codrington,-38.2667,141.9667,15.76,94,100,4.34,AU,1728962049
304,santa marta,11.2408,-74.199,30.03,72,40,2.06,CO,1728961562
305,miri,4.4148,114.0089,28.94,79,99,3.79,MY,1728961830
306,amursk,50.2261,136.8994,13.54,82,100,8.72,RU,1728962052
307,cromer,52.9312,1.2989,9.82,82,8,6.12,GB,1728962054
308,junin de los andes,-39.9504,-71.0694,6.37,77,2,3.12,AR,1728962055
309,ebon,4.582,168.6964,29.39,75,38,6.82,MH,1728962056
310,keningau,5.3378,116.1602,29.43,71,58,0.9,MY,1728962057
311,shimoda,34.6667,138.95,24.17,62,3,3.65,JP,1728962058
312,kalmunai,7.4167,81.8167,25.43,84,100,0.62,LK,1728962059
313,zadonsk,52.3904,38.9261,6.37,94,100,3.51,RU,1728962061
314,thompson,55.7435,-97.8558,-0.43,76,30,3.89,CA,1728962062
315,nyurba,63.2842,118.3319,-3.52,87,100,3.42,RU,1728962063
316,fort mcmurray,56.7268,-111.381,11.58,52,100,2.65,CA,1728962064
317,trujillo,-8.116,-79.03,16.98,88,100,3.09,PE,1728961973
318,brechin,56.7299,-2.6573,3.86,84,10,1.37,GB,1728962066
319,gisborne,-38.6533,178.0042,13.48,86,66,9.42,NZ,1728961989
320,yeppoon,-23.1333,150.7333,23.45,65,17,5.56,AU,1728962069
321,nyala,12.05,24.8833,25.73,60,55,2.04,SD,1728962070
322,dundaga,57.5167,22.35,6.12,94,92,1.83,LV,1728962071
323,kodinsk,58.6881,99.1844,-1.46,83,99,4.74,RU,1728962072
324,nioki,-2.7167,17.6833,20.7,96,94,0.2,CD,1728962073
325,crucecita,-28.95,-58.9833,21.33,96,93,3.46,AR,1728962075
326,uturoa,-16.7333,-151.4333,25.02,71,7,3.92,PF,1728962076
327,usogorsk,63.4106,48.6872,-0.37,70,80,3.37,RU,1728962077
328,muli,2.9167,73.5667,27.45,79,100,6.42,MV,1728962078
329,saint-francois,46.4154,3.9054,13.71,100,0,1.03,FR,1728962079
330,kijang,35.2442,129.2139,22.85,89,99,4.82,KR,1728962080
331,gubkin,51.2817,37.5458,4.84,94,72,3.13,RU,1728962081
332,taulaga,-11.0553,-171.0883,27.63,77,83,4.5,AS,1728962083
333,san pedro pochutla,15.7333,-96.4667,25.95,83,92,1.52,MX,1728962084
334,kirkwall,58.9848,-2.9587,8.31,87,70,2.57,GB,1728962085
335,west bay,19.3667,-81.4167,26.04,89,20,2.06,KY,1728962086
336,onega,63.9061,38.1404,2.28,95,100,4.99,RU,1728962087
337,pandan,14.0453,124.1694,30.54,66,78,2.77,PH,1728962088
338,okhotsk,59.3833,143.3,1.74,99,100,5.56,RU,1728962089
339,pyapon,16.2833,95.6833,29.57,72,98,1.37,MM,1728962091
340,vernon,50.2581,-119.2691,16.11,49,100,0.31,CA,1728961867
341,namibe,-15.1961,12.1522,20.55,93,69,0.62,AO,1728962093
342,haiku-pauwela,20.9219,-156.3051,28.01,69,20,10.73,US,1728962094
343,al hudaydah,14.7978,42.9545,30.22,72,94,1.95,YE,1728962095
344,kulachi,31.9286,70.4592,28.54,22,0,0.27,PK,1728962096
345,luba,3.4568,8.5547,25.37,82,84,0.21,GQ,1728962098
346,huicungo,-7.2833,-76.8,22.67,83,99,1.28,PE,1728962099
347,reggane,26.7158,0.1714,28.07,33,53,5.94,DZ,1728962100
348,saint-philippe,-21.3585,55.7679,21.5,83,57,5.86,RE,1728962101
349,panacan,9.2463,118.4082,30.08,66,100,1.65,PH,1728962102
350,nueva gerona,21.8833,-82.8,28.15,74,37,1.64,CU,1728962103
351,alofi,-19.0595,-169.9187,27.94,61,20,5.14,NU,1728962105
352,moree,-29.4667,149.85,25.59,48,45,0.31,AU,1728962106
353,solnechnyy,50.7214,136.6319,12.37,88,100,4.1,RU,1728962107
354,desaguadero,-16.5656,-69.0417,8.72,67,100,5.0,PE,1728962108
355,nkhotakota,-12.9274,34.2961,24.21,60,30,1.0,MW,1728962109
356,pangai,-19.8,-174.35,25.27,85,100,5.45,TO,1728962110
357,sylvester,31.5307,-83.8354,17.9,38,0,3.24,US,1728962112
358,igarka,67.4667,86.5833,-10.7,90,97,5.37,RU,1728962113
359,port-gentil,-0.7193,8.7815,25.31,85,67,2.37,GA,1728962114
360,nordholz,53.7833,8.6,6.05,93,20,0.51,DE,1728962115
361,al bawiti,28.3492,28.8659,20.45,69,0,3.38,EG,1728962116
362,lecheng,25.1238,113.3254,25.76,81,100,1.58,CN,1728962117
363,pachino,36.7186,15.0907,20.35,73,8,1.23,IT,1728962119
364,muynoq,43.7683,59.0214,6.6,62,67,4.25,UZ,1728962120
365,morehead city,34.7229,-76.726,17.77,53,75,3.09,US,1728962121
366,tibati,6.4667,12.6333,18.02,98,93,1.08,CM,1728962122
367,sake,-1.5736,29.045,15.85,91,98,0.62,CD,1728962123
368,bonthe,7.5264,-12.505,23.37,92,100,2.57,SL,1728962124
369,klyuchi,52.2667,79.1667,-1.39,61,99,2.97,RU,1728962125
370,eydhafushi,5.1033,73.0708,27.66,79,98,6.71,MV,1728962127
371,sinop,41.7711,34.8709,9.88,90,22,1.58,TR,1728962128
372,tangi,34.3006,71.6536,24.11,42,0,1.04,PK,1728962129
373,howard springs,-12.497,131.047,33.26,67,21,1.91,AU,1728962130
374,ad dabbah,18.05,30.95,31.53,18,100,4.53,SD,1728962131
375,la sarre,48.8002,-79.1996,1.17,96,96,4.78,CA,1728962132
376,ciudad madero,22.2667,-97.8333,26.7,73,0,1.03,MX,1728961988
377,ust-nera,64.5667,143.2,-8.22,76,91,0.59,RU,1728962135
378,perambalur,11.2333,78.8833,23.51,93,100,1.89,IN,1728962136
379,yanchep,-31.55,115.6833,19.5,55,54,4.22,AU,1728962137
380,oum hadjer,13.2954,19.6966,28.46,54,49,2.6,TD,1728962138
381,khanbari,27.3747,87.2039,22.84,85,48,0.76,NP,1728962139
382,kushiro,42.975,144.3747,17.48,81,100,7.66,JP,1728962140
383,kidal,18.4411,1.4078,28.66,39,13,1.23,ML,1728962142
384,luisant,48.4295,1.4738,12.27,95,100,2.96,FR,1728962143
385,santyoku,37.4406,129.1708,22.33,71,100,1.42,KR,1728962144
386,borkum,53.5809,6.6915,10.01,76,73,2.82,DE,1728962145
387,hinthada,17.6333,95.4667,29.44,77,29,0.94,MM,1728962146
388,cole harbour,44.6724,-63.4751,17.66,94,100,3.58,CA,1728962147
389,coronel du graty,-27.6804,-60.9146,24.5,82,56,2.82,AR,1728962149
390,kavieng,-2.5744,150.7967,29.15,72,98,2.27,PG,1728962150
391,kita,13.0349,-9.4895,23.18,88,96,1.79,ML,1728962151
392,almazan,41.4865,-2.5309,15.58,84,100,2.33,ES,1728962152
393,tocopilla,-22.092,-70.1979,18.06,75,17,0.23,CL,1728961942
394,muroto-misakicho,33.2833,134.15,25.68,62,97,5.13,JP,1728962156
395,burang,30.25,81.1667,3.3,51,3,0.34,CN,1728961932
396,aasiaat,68.7098,-52.8699,-4.78,95,80,2.25,GL,1728962158
397,saint-joseph,-21.3667,55.6167,22.21,79,34,4.03,RE,1728962109
398,port moresby,-9.4431,147.1797,27.38,75,45,3.87,PG,1728961922
399,taro,-8.3862,115.28,30.37,45,100,2.97,ID,1728962163
400,mabamba,-3.5983,30.5019,20.43,58,93,0.76,TZ,1728962164
401,linxia chengguanzhen,35.6003,103.2064,13.86,59,5,1.42,CN,1728962166
402,dassun,17.7204,121.6816,29.21,73,97,2.31,PH,1728962167
403,razole,16.4833,81.8333,25.69,96,100,1.91,IN,1728962168
404,mil'kovo,55.6078,37.7956,1.84,64,100,2.72,RU,1728962169
405,east london,-33.0153,27.9116,11.52,87,75,1.03,ZA,1728962171
406,embi,48.8264,58.1442,-2.6,70,2,4.33,KZ,1728962172
407,almodovar del campo,38.7094,-4.1791,17.39,82,99,2.84,ES,1728962173
408,ormara,25.2088,64.6357,28.64,61,99,2.13,PK,1728962174
409,milan,45.4643,9.1895,15.92,90,75,1.03,IT,1728962109
410,keflavik,64.0049,-22.5624,4.24,87,0,5.14,IS,1728962176
411,tidjikja,18.5564,-11.4271,31.3,28,100,1.91,MR,1728962177
412,kyaikkami,16.08,97.5675,28.05,80,76,2.03,MM,1728962179
413,dalhart,36.0595,-102.5133,18.01,27,0,5.66,US,1728962180
414,boyolangu,-8.1181,111.8935,29.46,60,100,4.79,ID,1728962181
415,sabang,5.8933,95.3214,27.93,74,100,8.48,ID,1728962182
416,nagykanizsa,46.4535,16.991,7.77,93,44,1.39,HU,1728962183
417,tocache,-8.1842,-76.5125,21.66,76,63,0.72,PE,1728962184
418,vilyuysk,63.7553,121.6247,-4.57,87,100,3.99,RU,1728962185
419,tambura,5.6,27.4667,19.35,98,16,1.84,SS,1728962187
420,berdigestyakh,62.0989,126.6992,-5.65,76,98,3.18,RU,1728962188
421,dobresti,46.85,22.3,10.03,62,79,2.4,RO,1728962189
422,abepura,-2.6333,140.5833,33.45,55,20,2.57,ID,1728962190
423,kuanda,56.3161,116.0806,-6.97,57,88,0.81,RU,1728962191
424,belyy yar,53.6039,91.3903,-2.06,86,40,0.0,RU,1728962192
425,kill devil hills,36.0307,-75.676,17.77,51,0,5.14,US,1728962193
426,berezovyy,51.6667,135.7,11.21,81,100,2.11,RU,1728962195
427,taoudenni,22.6783,-3.9836,30.45,23,68,4.02,ML,1728962196
428,ilesa,7.6167,4.7333,20.99,99,93,0.41,NG,1728962197
429,ataq,14.5377,46.8319,23.14,33,100,2.73,YE,1728962161
430,idfu,24.9803,32.8747,26.92,29,0,1.87,EG,1728962045
431,lepsy,46.235,78.9456,5.99,53,100,4.28,KZ,1728962200
432,tozkhurmato,34.8905,44.6299,25.61,20,79,1.19,IQ,1728962201
433,castillos,-34.1667,-53.8333,16.54,92,100,4.5,UY,1728962203
434,ciudad lazaro cardenas,17.9583,-102.2,26.64,84,13,1.59,MX,1728962204
435,acarau,-2.8856,-40.12,25.51,80,47,6.4,BR,1728962205
436,wajir,1.7471,40.0573,24.36,73,82,5.17,KE,1728962206
437,kavaratti,10.5669,72.642,27.04,79,100,1.43,IN,1728962207
438,warrnambool,-38.3833,142.4833,20.33,62,100,4.93,AU,1728962208
439,manaure,11.7751,-72.4445,29.07,72,100,3.14,CO,1728962209
440,puerto bolivar,-3.2667,-79.9833,21.95,86,38,2.53,EC,1728962211
441,romankivtsi,48.4847,27.2138,5.95,73,17,1.27,UA,1728962212
442,kamaishi,39.2667,141.8833,20.9,68,80,4.94,JP,1728962213
443,shawano,44.7822,-88.609,4.99,81,40,2.57,US,1728962214
444,undurkhaan,47.3194,110.6556,-0.2,61,5,5.93,MN,1728962215
445,kampung sungai ara,5.327,100.2735,28.96,74,40,3.6,MY,1728962216
446,sangre grande,10.5835,-61.1177,27.98,86,72,2.9,TT,1728962218
447,faranah,10.0404,-10.7434,20.48,93,100,1.2,GN,1728962219
448,hovd,48.0056,91.6419,4.52,81,64,2.18,MN,1728962220
449,cruz alta,-28.6386,-53.6064,19.58,84,100,4.43,BR,1728962221
450,timbuktu,16.7735,-3.0074,30.93,40,95,4.3,ML,1728962222
451,la ronge,55.1001,-105.2842,7.14,70,75,7.2,CA,1728962223
452,kupino,54.3663,77.2981,0.25,55,69,1.94,RU,1728962225
453,fairfax station,38.8009,-77.3255,10.6,67,0,4.63,US,1728962226
454,saint-leu,-21.15,55.2833,22.48,85,28,1.26,RE,1728962227
455,fredericksburg,38.3032,-77.4605,11.45,71,0,2.57,US,1728962228
456,bucerias,20.75,-105.3333,28.99,79,0,1.54,MX,1728962229
457,rexburg,43.826,-111.7897,13.99,44,0,0.0,US,1728962230
458,la'ie,21.6477,-157.9253,26.73,83,18,1.34,US,1728962231
459,grande prairie,55.1667,-118.8027,10.1,53,75,6.69,CA,1728962233
460,puyang chengguanzhen,35.7028,115.0053,25.6,44,0,1.41,CN,1728962234
461,tucumcari,35.1717,-103.725,15.91,29,0,3.6,US,1728962235
462,bay harbor,30.1471,-85.6146,23.97,89,0,1.54,US,1728962236
463,balancan,17.8,-91.5333,23.63,89,90,2.24,MX,1728962237
464,rehoboth,-23.3167,17.0833,20.37,22,5,2.24,NA,1728962238
465,bereznik,62.8551,42.7072,1.8,67,94,3.91,RU,1728962240
466,noumea,-22.2763,166.4572,27.22,97,11,10.15,NC,1728962241
467,rengasdengklok,-6.1592,107.2981,31.95,51,100,2.79,ID,1728962242
468,benicarlo,40.4165,0.4271,21.25,93,100,4.31,ES,1728962243
469,ashburton,-37.8626,145.0794,26.58,47,100,1.34,AU,1728962244
470,puerto baquerizo moreno,-0.9,-89.6,20.54,88,97,4.25,EC,1728962245
471,pechora,65.1472,57.2244,-1.27,84,100,4.75,RU,1728962247
472,puerto aysen,-45.4,-72.7,5.25,97,73,1.66,CL,1728962248
473,bodaybo,57.8506,114.1933,-1.41,65,100,4.42,RU,1728962249
474,cabedelo,-6.9811,-34.8339,24.37,80,19,4.43,BR,1728962250
475,yuzhno-kurilsk,44.0306,145.8556,16.39,76,96,8.27,RU,1728962251
476,sydney,-33.8679,151.2073,18.51,69,75,8.23,AU,1728961701
477,saint croix,17.7397,-64.7388,26.64,81,40,2.57,VI,1728962253
478,luanda,-8.8368,13.2343,25.0,83,75,2.06,AO,1728961658
479,nanzhang chengguanzhen,31.7839,111.8275,25.05,54,0,2.21,CN,1728962256
480,kudahuvadhoo,2.6708,72.8944,27.85,76,95,6.22,MV,1728962257
481,kuta,-8.7233,115.1723,29.97,74,40,3.09,ID,1728962258
482,bemidji,47.4736,-94.8803,1.7,94,0,2.06,US,1728962259
483,hirara,24.8,125.2833,29.92,84,75,5.14,JP,1728962260
484,guaraniacu,-25.1008,-52.8781,17.88,72,100,1.55,BR,1728962263
485,mata-utu,-13.2816,-176.1745,27.31,79,100,5.38,WF,1728962264
486,kulhudhuffushi,6.6221,73.07,27.96,77,100,6.18,MV,1728962266
487,aguadulce,8.25,-80.55,23.42,97,100,1.88,PA,1728962267
488,gaitania,3.0906,-75.6723,15.05,83,84,2.63,CO,1728962269
489,nadvoitsy,63.8667,34.3167,2.11,98,100,2.81,RU,1728962270
490,louis trichardt,-23.0439,29.9032,16.84,83,100,6.39,ZA,1728962271
491,zahirabad,17.6833,77.6167,25.17,77,82,2.61,IN,1728962272
492,kenai,60.5544,-151.2583,6.75,77,0,3.6,US,1728962273
493,santiago,-33.4569,-70.6483,16.72,65,10,0.55,CL,1728961749
494,kerikeri,-35.2268,173.9474,18.84,57,2,4.47,NZ,1728962275
495,lebu,-37.6167,-73.65,8.98,91,14,4.91,CL,1728962277
496,mugia,43.1041,-9.2179,16.62,90,100,2.19,ES,1728962278
497,kyshtovka,56.555,76.6271,0.46,79,90,0.62,RU,1728962279
498,manati,18.4275,-66.4921,27.03,89,69,2.49,PR,1728962159
499,joshimath,30.5667,79.5667,16.31,31,0,0.82,IN,1728962281
500,mantua,45.1667,10.7833,16.66,95,61,0.45,IT,1728962282
501,machico,32.7,-16.7667,23.17,90,40,1.54,PT,1728962283
502,fatehpur sikri,27.1,77.6667,27.47,27,36,1.61,IN,1728962285
503,rostovka,55.3842,71.8891,-3.34,87,30,1.66,RU,1728962286
504,lichinga,-13.3128,35.2406,18.05,72,75,2.06,MZ,1728962217
505,neryungri,56.6709,124.6491,-6.95,60,15,2.68,RU,1728962288
506,amga,60.8953,131.9608,-4.96,83,96,1.24,RU,1728962289
507,middelburg,-25.7751,29.4648,15.46,78,100,7.59,ZA,1728962258
508,siracusa,37.0881,15.2792,20.07,73,41,0.98,IT,1728962291
509,williams lake,52.1415,-122.1445,9.76,88,100,1.54,CA,1728962293
510,porto novo,6.4965,2.6036,25.9,92,51,1.94,BJ,1728962195
511,i-n-salah,27.1935,2.4607,29.98,28,19,5.98,DZ,1728962295
512,calca,-13.3333,-71.95,10.64,76,92,1.93,PE,1728962296
513,corner brook,48.9667,-57.9484,8.85,81,100,4.22,CA,1728962107
514,sao jose da coroa grande,-8.8978,-35.1478,24.1,81,16,3.07,BR,1728962298
515,la libertad,-2.2333,-80.9,21.03,85,95,3.94,EC,1728962300
516,sandnessjoen,66.0217,12.6316,7.8,63,100,6.59,NO,1728962301
517,ngaoundere,7.3167,13.5833,17.43,98,95,0.33,CM,1728962302
518,kozhevnikovo,56.2589,83.9714,-0.39,66,21,0.96,RU,1728962304
519,teguise,29.0605,-13.564,19.12,83,0,3.09,ES,1728962305
520,zabaykal'sk,49.6333,117.3167,-2.25,55,8,6.71,RU,1728962306
521,laguna,38.421,-121.4238,23.86,62,0,3.09,US,1728962059
522,dakhla,23.6848,-15.958,20.03,89,6,4.74,EH,1728962309
523,quthing,-30.4,27.7003,9.07,68,72,3.64,LS,1728962310
524,otjimbingwe,-22.35,16.1333,21.37,41,13,1.83,NA,1728962311
525,jeddah,21.5169,39.2192,27.92,74,0,1.54,SA,1728962092
526,maintirano,-18.0667,44.0167,23.28,74,0,2.62,MG,1728962313
527,prineville,44.2999,-120.8345,15.73,55,100,2.57,US,1728962948
528,rudbar,30.15,62.6,25.57,11,0,1.17,AF,1728962949
529,nam som,17.7704,102.1895,28.7,76,10,1.16,TH,1728962950
530,queenstown,-31.8976,26.8753,3.81,85,40,3.31,ZA,1728962952
531,aleksandrovsk-sakhalinskiy,50.8975,142.1561,15.02,77,38,12.19,RU,1728962953
532,salalah,17.0151,54.0924,24.05,60,0,1.54,OM,1728962954
533,shenjiamen,29.9576,122.298,24.7,81,68,2.02,CN,1728962980
534,trairi,-3.2778,-39.2689,25.47,75,27,4.91,BR,1728962784
535,ghadamis,30.1337,9.5007,25.53,40,0,5.03,LY,1728962982
536,bayside,40.8424,-124.0637,15.35,94,25,1.54,US,1728962983
537,tofol,5.3248,163.0078,30.88,74,75,6.69,FM,1728962985
538,sydney mines,46.2367,-60.2177,15.19,97,100,4.12,CA,1728962986
539,moranbah,-22.0016,148.0466,28.63,36,0,5.14,AU,1728962988
540,fuerte olimpo,-21.0415,-57.8738,24.45,71,100,2.25,PY,1728962989
541,tarime,-1.35,34.3667,19.16,75,100,1.12,TZ,1728962991
542,shanwei,22.782,115.3475,28.48,65,70,3.3,CN,1728962992
543,arpajon-sur-cere,44.9026,2.4581,17.17,72,100,3.09,FR,1728962993
544,mejit,10.2753,170.8646,28.2,80,67,5.85,MH,1728962994
545,nouadhibou,20.931,-17.0347,20.99,78,62,5.66,MR,1728963009
546,morococha,-11.5997,-76.1411,2.7,72,100,2.33,PE,1728963010
547,mantsala,60.6609,25.2838,2.92,95,51,1.91,FI,1728963011
548,mukalla,14.5425,49.1242,30.2,53,84,0.75,YE,1728963012
549,levuka,50.1834,-105.4011,7.84,33,100,8.93,CA,1728963013
550,steinbach,50.1667,8.5667,8.88,96,100,2.57,DE,1728963014
551,shitanjing,39.2342,106.3439,14.31,38,17,4.43,CN,1728963016
552,nguigmi,14.2495,13.1092,27.6,50,89,2.95,NE,1728963017
553,bom jesus,-9.0744,-44.3586,26.3,42,70,1.36,BR,1728963018
554,inirida,3.8653,-67.9239,22.43,86,51,1.08,CO,1728963945
555,soio,-6.1349,12.3689,24.59,87,100,2.68,AO,1728963946
556,lata,40.1629,-8.3327,15.21,93,25,1.72,PT,1728963947
557,sao joao da barra,-21.6403,-41.0511,21.84,79,100,5.52,BR,1728963948
558,cam ranh,11.9214,109.1591,30.98,70,20,4.12,VN,1728963950
559,temiskaming shores,47.4938,-79.7153,3.89,87,87,4.84,CA,1728963951
560,uyuni,-20.4597,-66.825,10.02,55,57,3.03,BO,1728963952
561,colgong,25.2667,87.2167,28.15,58,43,1.77,IN,1728963953
562,detroit lakes,46.8172,-95.8453,2.03,87,0,3.6,US,1728963933
563,kamien pomorski,53.9685,14.7726,9.74,71,26,6.24,PL,1728963955
564,dongola,19.1667,30.4833,28.9,19,66,4.7,SD,1728963957
565,porto franco,-6.3383,-47.3992,26.23,54,51,1.81,BR,1728963958
566,nuku'alofa,-21.1333,-175.2,25.19,94,75,2.57,TO,1728963959
567,pointe aux piments,-20.0628,57.5131,24.18,83,23,6.18,MU,1728963960
568,al minya,28.1099,30.7503,22.62,69,0,5.61,EG,1728963963
569,rio grande,-32.035,-52.0986,19.01,84,100,8.84,BR,1728963964
